,boxes
0,"[[(array([[214.71553998,  71.42807942]]), array([[201.72563649,  82.39450122]]), array([[220.10798943, 104.16869477]]), array([[233.09789293,  93.20227297]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
1,"[[(array([[215.44532688, 154.02238295]]), array([[203.44682999, 153.83245576]]), array([[203.03833325, 179.63890737]]), array([[215.03683015, 179.82883456]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
2,"[[(array([[219.97065546, 185.23708843]]), array([[209.54241643, 171.81129867]]), array([[184.62411578, 191.16613738]]), array([[195.05235481, 204.59192714]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
3,"[[(array([[219.39128434, 153.16628258]]), array([[232.18061109, 164.36597549]]), array([[253.01394442, 140.57565291]]), array([[240.22461767, 129.37595999]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
4,"[[(array([[244.55883626, 194.56508773]]), array([[230.70586962, 204.41878324]]), array([[244.18626178, 223.37039614]]), array([[258.03922842, 213.51670063]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
5,"[[(array([[232.03011423, 223.78856787]]), array([[248.13655244, 229.22756116]]), array([[253.85550669, 212.29207729]]), array([[237.74906848, 206.853084  ]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
6,"[[(array([[249.60916388, 264.06950663]]), array([[241.99541128, 279.26920305]]), array([[269.36469233, 292.97888047]]), array([[276.97844493, 277.77918405]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
7,"[[(array([[217.95689249, 259.05938141]]), array([[231.16402254, 269.76319923]]), array([[245.86990489, 251.61803794]]), array([[232.66277484, 240.91422012]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
8,"[[(array([[206.0785809 , 350.78295849]]), array([[220.16651714, 360.29768667]]), array([[231.60442564, 343.3622028 ]]), array([[217.51648939, 333.84747462]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
9,"[[(array([[174.21624558, 429.69348977]]), array([[178.49944069, 418.48392958]]), array([[153.17264331, 408.80651023]]), array([[148.8894482 , 420.01607042]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
10,"[[(array([[167.04794622, 433.13699758]]), array([[163.60891652, 439.23397016]]), array([[175.04682502, 445.68558307]]), array([[178.48585472, 439.58861048]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
