,boxes
0,"[[(array([[241.14128391, 260.84849836]]), array([[240.39443038, 238.86117906]]), array([[221.40092389, 239.50634035]]), array([[222.14777741, 261.49365965]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
1,"[[(array([[240.31096008, 284.95475507]]), array([[248.8221568 , 270.23879331]]), array([[225.39683212, 256.69040622]]), array([[216.88563541, 271.40636798]]), array(['L'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
2,"[[(array([[188.22902241, 214.11931285]]), array([[167.94954902, 205.59036457]]), array([[156.55344512, 232.68713876]]), array([[176.83291852, 241.21608705]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
3,"[[(array([[142.95081364, 278.20608012]]), array([[146.11736818, 261.5035973 ]]), array([[118.8933422 , 256.34230698]]), array([[115.72678767, 273.0447898 ]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
4,"[[(array([[318.864344  , 389.11738791]]), array([[296.8921495 , 388.01164435]]), array([[295.62591574, 413.17293467]]), array([[317.59811024, 414.27867823]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
5,"[[(array([[234.36702885, 531.17342012]]), array([[231.97388024, 514.34270891]]), array([[204.74985426, 518.21367666]]), array([[207.14300288, 535.04438786]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
6,"[[(array([[233.12297192, 603.14477283]]), array([[228.15300211, 586.88748523]]), array([[209.15949562, 592.69393685]]), array([[214.12946542, 608.95122445]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
7,"[[(array([[163.13155193, 509.59371459]]), array([[155.06000652, 494.63209186]]), array([[133.53403249, 506.24499509]]), array([[141.6055779 , 521.20661782]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
8,"[[(array([[175.95594686, 385.39816485]]), array([[165.02781937, 372.3760287 ]]), array([[143.50184535, 390.44054483]]), array([[154.42997283, 403.46268097]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
9,"[[(array([[ 80.1575273 , 324.35481762]]), array([[ 74.68987529, 308.25808561]]), array([[ 53.79701815, 315.3548598 ]]), array([[ 59.26467016, 331.45159181]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
10,"[[(array([[103.95072964, 133.25258574]]), array([[ 97.74732231, 117.42483361]]), array([[ 81.28628334, 123.87644652]]), array([[ 87.48969068, 139.70419864]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
11,"[[(array([[109.47893171, 391.89436479]]), array([[107.41392543, 380.07337714]]), array([[ 85.25483452, 383.94434488]]), array([[ 87.3198408 , 395.76533254]]), array(['R'], dtype='<U1'), array([], shape=(0, 0), dtype=uint8))]]"
